"age","Added.sugars","Beans.and.legumes","Calcium","Cheese","Coffee","Dietary.cholesterol","Dietary.fiber","Dietary.sodium","Eggs","Fruit.juices","Fruits","Iodine","Iron","Magnesium","Monounsaturated.fatty.acids","Non.starchy.vegetables","Nuts.and.seeds","Other.starchy.vegetables","Plant.omega.3.fat","Potassium","Potatoes","Refined.grains","Saturated.fat","Seafood.omega.3.fat","Selenium","Sugar.sweetened.beverages","Tea","Total.carbohydrates","Total.Milk","Total.omega.6.fat","Total.processed.meats","Total.protein","Total.seafoods","Unprocessed.red.meats","Vitamin.A.with.supplements","Vitamin.B1","Vitamin.B12","Vitamin.B2","Vitamin.B3","Vitamin.B6","Vitamin.B9..Folate.","Vitamin.C","Vitamin.D","Vitamin.E","Whole.grains","Yoghurt..including.fermented.milk.","Zinc"
42.5,7.64331740378662,16.9208310827351,918.12114983752,31.6180003383996,2.43693341147794,197.695432899512,32.5966986357167,1785.86719644153,16.7396768706162,13.9191197629713,79.6243496566739,182.618714122166,12.3460916727107,323.933259231738,13.1282924424877,108.89515796872,7.98607842798341,13.3822191867984,1574.71431117798,4331.48184965888,79.4202334354232,23.246741891205,14.4453534766056,558.466332483939,92.2042488982631,83.4081411397117,2.01549395029347,46.0944336936758,102.185253360632,2.76739551170127,5.85988412154296,100.084329237819,35.1694440956813,89.4536929042171,960.347243658452,1.33396623840659,4.55382461916981,2.05212849379302,20.8008133375361,1.70629736347142,312.789250168843,88.8131904784635,3.79300902936044,9.43692522182411,32.2100653043756,60.9209678432295,11.7061955754977
47.5,7.24744313359852,16.7397269535935,909.637511587125,30.6102613837554,2.72845229992449,196.779407983335,32.877960436667,1758.84052793921,16.8095545906893,13.3638926072252,83.8854884026878,186.596261126402,12.3431586806078,327.022765706799,13.1010378793005,111.912349519479,8.02743751419981,14.1661509769718,1597.05304285858,4351.92444045607,80.0351495686809,22.6222491303124,14.4597707973899,582.93150153236,91.9651289675597,72.3546749925097,2.06042223646859,45.9262712523913,102.709178249401,2.76925599414563,5.70008958546361,99.0760913387497,36.2404122916336,87.6980361606401,984.105846542594,1.32531065341719,4.53324599978548,2.06232697988609,20.6901433466003,1.68910475626363,311.09042774378,89.4970007088529,3.90625044216973,9.45981157574673,33.5378457684679,60.8808151180377,11.6215289170726
52.5,7.17460363032383,16.2347220001237,902.37879759959,29.792563430647,2.82100070679682,194.902221765781,33.0870203372252,1734.77411590347,16.786721633899,13.0630813265011,87.073527696446,187.59469150749,12.254907966238,324.999761789232,13.0425602740938,112.162651864424,8.05165137355108,14.4881006072557,1600.31666642543,4357.53401315732,81.4388679448331,21.9544463553404,14.4603129300265,592.280934378598,92.2029772981468,62.6822012502133,2.072101492613,45.9119133032992,105.987017674628,2.76966574647644,5.55744726585529,97.5571153736595,36.7262433696453,85.2950856521551,1009.54476329769,1.313202135713,4.61716880594472,2.06484913373765,20.2942773545128,1.68579748571842,309.489832917878,89.4931601518389,3.91425630989073,9.32656469636196,35.1799329389292,60.7854490454269,11.4590483967972
57.5,6.93024632459647,15.5517385996731,896.354773755686,28.9040393747199,2.76296517184209,192.494930406208,33.2554029801638,1713.73735598945,16.7788321237163,12.9521296808402,89.5926192468174,182.299458720449,12.262802819729,322.740325584737,12.9397688507872,110.540751899123,8.05667049896713,14.9658340609206,1584.93489948314,4357.71039400156,83.2958170487612,21.3944100629361,14.4532738930998,593.731752872614,91.2313034397344,54.3757285856399,2.09629049137405,46.2024885590097,111.066843954065,2.76918297364562,5.43266869219324,96.0459687905579,36.8216344101223,82.7603044799776,1028.16840617365,1.30417340416235,4.63741374921615,2.05493756269873,19.7467736920031,1.66377141381504,306.533901092176,89.6728213679377,3.92687422871222,9.26341491287402,37.110595396675,61.4960016157176,11.296360198953
62.5,6.78592451839273,14.8545767759704,891.332406353773,28.3210931849376,2.6426343391419,189.898826589334,33.4296340853121,1692.67774213404,16.7879175905386,12.894000220522,91.6456055781119,181.308769615511,12.106308606316,318.050612752039,12.8474521720308,108.216382356248,8.06180599670678,15.1250508762848,1608.31022724773,4336.03119824109,85.3346962660221,20.8639814638608,14.4377135423644,588.895662589925,87.1726089285863,47.4928343531046,2.11341328072176,46.310460510857,116.757839040736,2.76817086065265,5.32543861059597,94.4314414708984,36.7420394794285,80.2348744922483,1065.87470401634,1.29181726850734,4.68937325996285,2.0500388193298,19.2111744334124,1.6569973114832,303.967289489439,90.0067091768682,3.99277203687129,9.19812624511095,39.0729289248584,61.0204394462365,11.1774747786059
67.5,6.68505629252483,14.1990138512819,886.547589224328,27.681963611682,2.5157869898956,187.475382390312,33.5777427172324,1674.73297776604,16.6625903545376,12.8513807832679,93.4729589631743,181.764992310131,11.9883153875288,316.260476620763,12.7357471450883,105.683961656513,8.0632678342618,15.0048005276743,1594.03628177317,4339.64007351509,87.3702484583865,20.3500296622014,14.4282282226018,582.935036353675,87.2405497092466,41.8619160412459,2.11894188503728,46.4770638244295,122.775031195436,2.76707019138374,5.23599287231065,92.9472562099781,36.5847475425288,77.9087484510262,1087.86814948455,1.28876663441632,4.74986809640125,2.06420200129334,18.9265190292967,1.65079213359912,303.543336663842,90.4456032626741,3.9877397338299,9.01596605537842,41.0298807866915,60.9244351957735,10.9661964444341
72.5,6.66366851660891,13.6236105268917,881.599440730197,27.003652187355,2.40694390152651,185.334905725385,33.7121341181213,1659.44238004101,16.6559968362004,12.8178004394594,95.0656908649241,178.687210438959,11.9055300589454,313.997420930335,12.7040038819269,103.215219129948,8.05638395079787,15.306188552234,1603.31886292111,4341.19511940398,89.3999402552298,19.8810635990229,14.4112508593506,577.687618433451,85.1000219646699,37.2620531674768,2.11993371549436,46.6258669799119,128.728750627824,2.76575545836251,5.15518733076079,91.4910813964205,36.4877035330252,75.8481118994086,1125.26154574342,1.28216588575446,4.81445933087386,2.06097797239355,18.571832926007,1.64218498297385,300.732623168891,90.7488961465954,4.02732512699102,8.91290749143142,42.9035575628444,60.5624311024993,10.897691233174
77.5,6.47165587167437,13.0928611135643,878.061121499368,26.507708435677,2.30607623219835,183.364400669031,33.852790407151,1639.67351792362,16.6463495683111,12.8243064245595,97.0354746432449,180.716220538158,11.8997814741288,310.704113460024,12.5104332364548,101.483547418361,8.05405037835781,15.5974816335463,1593.9148303783,4319.53584192614,91.2215320979036,19.4132155186629,14.4082020428745,572.771264188236,86.1704029791493,33.3119267698077,2.13150147036702,46.9554521253091,134.622697235341,2.76511017085953,5.06599986713729,90.4776894030402,36.3146602799576,73.8109497847614,1135.97349016635,1.27007729860827,4.83304378839098,2.05351511154104,18.0507838322354,1.6278551036519,298.614431345863,90.7250115317499,3.97835491133853,8.83740253184274,44.7824548709944,60.6597310126979,10.7786995039448
82.5,6.35665675564633,12.5993261344104,875.019511255226,25.8239981556966,2.21420003555094,181.399588883222,33.9803127682186,1620.70776901342,16.5224110396142,12.8263672194976,99.0298341919447,176.367198517914,11.7753300650592,309.114628637904,12.4514404486668,99.9378756088338,8.04972983365822,15.5559902635936,1592.69460508033,4324.71709234583,92.9195124182488,18.9545293416908,14.4087167942726,568.258353358359,83.2325050538317,29.9754302729313,2.13563951245658,47.0303005661197,140.344678281524,2.76477881606438,4.97741971057492,88.9060912427703,36.1844092646971,71.9141839483446,1169.31858191505,1.26887157057923,4.85429457771561,2.0629062475912,17.746638804028,1.62039212296515,297.942735609901,91.512673500005,4.01273166177169,8.76823644565365,46.631230636851,60.6143571899842,10.6191026894111
87.5,6.35862755385064,12.1780053815724,871.559931122229,25.1386105804094,2.13489475336011,179.660472820466,34.0833008762845,1606.83789447236,16.5770387519831,12.7985290541375,100.623551141453,177.185187357724,11.726853950251,306.863540055837,12.3733307030763,98.3349852403026,8.05397890802165,15.7810841962358,1591.76146341919,4330.57085572848,94.7351029803044,18.564186431938,14.3936301219818,563.679370160892,82.1668168830704,27.21508691259,2.14786141919916,47.3309005989999,145.978705533551,2.76398739724097,4.90736221965751,88.1919587939295,36.0790573287795,70.2930556167792,1193.23412715222,1.26280037540571,4.90690997961181,2.07186631813593,17.5779063148245,1.61369606887274,296.551233048969,91.915016597427,4.03434890992692,8.67539199962786,48.3867175974302,60.9251419960761,10.4531030175996
92.5,6.17385489241663,11.7897606948461,867.915042669812,24.7074194867994,2.06565301857074,178.035433773883,34.1663954113979,1596.12968504588,16.4159543112955,12.7771308149036,101.871735874349,175.824507324247,11.6691275014027,305.600114105714,12.2780956851059,96.7096028706141,8.05624966950408,15.7143523874292,1606.26007884369,4308.64769273308,96.3186919051163,18.2457516185778,14.3851720122355,559.468519626884,80.092388569201,24.8618871408405,2.1446620398294,47.4393498776936,151.455583157032,2.76302381385001,4.84410464291677,87.2318735399072,36.0048299913687,68.8262198796492,1212.94114586137,1.25064623986244,4.95256320190354,2.06249879585953,17.1783531898041,1.60300009710555,295.101231201593,91.6476983467396,4.01698177299069,8.56950811845922,50.1465364504553,60.6110513928862,10.4397961171076
97.5,6.06946774476994,11.4044699257042,865.852082439549,24.2506324544339,1.99470407898272,176.470116439762,34.2790740258517,1578.56799024636,16.4211626279169,12.7791245533799,103.763366401488,174.864130246457,11.5271940924145,302.286038001924,12.2192808361543,95.7037553342946,8.04573124785486,15.9026918938621,1588.93721869753,4285.05463165845,97.7970254095965,17.8597167481584,14.3868378587045,554.653170543509,81.5468195414972,22.7114461120589,2.1558804813556,47.5753574648239,156.956188246269,2.76303029917412,4.77077853076826,85.8355708293879,35.9176235320074,67.2565821127082,1232.99502265886,1.24904524003888,4.96289670634059,2.05997729452023,16.933759257331,1.59202249028872,293.282570114882,92.0845643784486,4.02634408152615,8.46140547659448,51.9143778617763,60.2388586216684,10.2413039726458
